node_num,node_id,concept_type,name,tier,created_at,first_seen_batch,last_seen_batch,profile_id
1928,concept_concept_e2ca4ff60c78,Concept,"Monroe Doctrine",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1929,concept_concept_106d6f9b3f78,Concept,"Civil Rights Movement",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1930,concept_concept_7e033ea7ea53,Concept,"Anti‑racism",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1931,concept_concept_6407111ba2a4,Concept,"Non‑racist leadership",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1932,concept_event_1afdd4884d52,Event,"Gag Rule (Congress)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1933,concept_person_c6b32b63db61,Person,"Frederick Douglass",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1934,concept_insight_b28bdff91700,Insight,"""All men are born free and equal"" – phrase in Massachusetts Constitution used by Elizabeth Freeman t",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1935,concept_insight_f53b22048880,Insight,"Lincoln’s early colonization ideas (sending freed slaves to Africa) show his anti‑slavery stance was",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1936,concept_insight_47838f281218,Insight,"Grant’s memoir quote: “As time passes, people… will begin to wonder how it was possible that their a",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1937,concept_insight_dcf5570de78a,Insight,"Harding publicly condemned segregation and lynchings, yet no major anti‑racist legislation passed du",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1938,concept_insight_64e732b75dd6,Insight,"John Quincy Adams authored much of what became the Monroe Doctrine, reflecting a modern view on Nati",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1939,concept_insight_905000696726,Insight,"The congressional “gag rule” was enacted to silence John Quincy Adams on slavery, indicating his out",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1940,concept_domain_856e8d2e7ee2,Domain,"Modern History",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1941,concept_domain_c3b6f5840cc9,Domain,"International Relations",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1942,concept_domain_caee2af76561,Domain,"Security Studies",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1943,concept_domain_53bbdf8cb7ec,Domain,"Counterfactual Thought Experiments",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1944,concept_theme_7972f0e7e448,Theme,"US presidential decision‑making",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1945,concept_theme_ef4a5f63202e,Theme,"Neoconservative influence",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1946,concept_theme_a1985c85fa2e,Theme,"Afghanistan invasion post‑9/11",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1947,concept_theme_fa5840fd8c6b,Theme,"Iraq War origins and alternatives",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1948,concept_theme_24dd1ca79d25,Theme,"Intelligence failures and warnings",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1949,concept_theme_745975005936,Theme,"Nuclear proliferation deterrence",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1950,concept_theme_cc4b66d16c07,Theme,"Operation Infinite Reach (1998)",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1951,concept_theme_1113530e106b,Theme,"1993 World Trade Center bombing case study",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1952,concept_person_a334dbd6bdf5,Person,"Bill Clinton",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1953,concept_person_da9b195bd690,Person,"George W. Bush",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1954,concept_event_cabbaa68cbfe,Event,"9/11 attacks (2001)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1955,concept_event_9861163e8d9e,Event,"Operation Infinite Reach",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1956,concept_concept_b4100f06ff66,Concept,"Neo‑conservatism",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1957,concept_event_51f88cef979a,Event,"Iraq War (2003)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1958,concept_event_72a5e6049f14,Event,"Afghanistan invasion (2001)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1959,concept_person_04f6a21252a0,Person,"Bin Laden",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1960,concept_person_fe864868902c,Person,"Emad Salem (FBI informant)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1961,concept_problem_f51fb4657608,Problem,"FBI intelligence failures",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1962,concept_concept_7802f292d33f,Concept,"Nuclear deterrence theory",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1963,concept_framework_db5e2f336086,Framework,"Counterfactual history methodology",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1964,concept_insight_76798d343b6e,Insight,"""Every president would have invaded Afghanistan, and rightly so. But I’d argue, if a Neo con wasn’t ",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1965,concept_insight_1694192f1956,Insight,"""The US and UK threatened to invade Iraq in 1998. The conflict didn’t arise out of nowhere. It was b",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1966,concept_insight_efd382c67ae4,Insight,"""Operation Infinite Reach. Clinton did bomb Afghanistan Al‑Qaeda camps to try to kill Bin Laden. It ",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1967,concept_insight_5cbd97b72edb,Insight,"""Bush's intel team famously disregarded a report given by the Clinton team during the transition ent",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1968,concept_insight_90e67928fa24,Insight,"The speculation that without the Clinton sex scandal he might have focused more on terrorism, potent",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1969,concept_insight_21742a43c3c1,Insight,"Libya gave up its WMD program after the 2003 invasion of Iraq, suggesting a possible link between Ir",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1970,concept_insight_228a5959e8f3,Insight,"The 1993 World Trade Center bombing informant Emad Salem warned the FBI, but his warnings were dismi",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1971,concept_insight_bccfe5e808c0,Insight,"Idea that neo‑con theories view 9/11 as a pretext for invading Iraq for alleged nuclear weapons that",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1972,concept_domain_db4d9c3bc628,Domain,Archaeology,1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1973,concept_domain_7049e80c45da,Domain,Genetics,1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1974,concept_domain_2d54c8b8873f,Domain,Linguistics,1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1975,concept_domain_ff2a5f10eba0,Domain,Anthropology,1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1976,concept_theme_e4e9b6a01aa0,Theme,"Indo-European migrations",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1977,concept_theme_ae185a7e89ba,Theme,"Vedic literature and geography",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1978,concept_theme_bda16218d10a,Theme,"Indus Valley Civilization collapse",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1979,concept_theme_0b2bdbaf1512,Theme,"Genetic markers R1a and mtDNA",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1980,concept_theme_5cbed3fc17c4,Theme,"Climate‑driven migrations",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1981,concept_theme_12cbe3a27907,Theme,"Scholarly debates: Out of India Theory vs AMT",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1982,concept_theme_23cc79d4ac5d,Theme,"Script decipherment and language continuity",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1983,concept_theme_6881785e1d46,Theme,"Methodological critiques of archaeological evidence",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1984,concept_concept_4f802f6c07a5,Concept,"Aryan Migration Theory",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1985,concept_concept_cab28b5d6cf6,Concept,"Indo‑Iranian migrations",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1986,concept_concept_dce6aea418f2,Concept,"Proto‑Indo‑European (PIE)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1987,concept_concept_6606129d4be1,Concept,Sanskrit,3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1988,concept_concept_371b6e7c4c93,Concept,Vedas,3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1989,concept_event_560deabc58ca,Event,"War of Ten Kings",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1990,concept_concept_0799453ba742,Concept,"Indus Valley Civilization",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1991,concept_event_d6be579f65ce,Event,"1900‑1700 BCE mega drought",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1992,concept_data_458967e395ea,Data,"Clay fired bricks (IVC)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1993,concept_example_1305baf5a434,Example,"Swat Valley archaeological site",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1994,concept_project_846f086d0e0c,Project,"Narasimhan et al. 2019 paper",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1995,concept_data_fccd50be3d39,Data,"R1a Y‑chromosome haplogroup",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1996,concept_data_16f03d4e4c70,Data,"Steppe mtDNA (female)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1997,concept_person_7694d49afe8d,Person,"S. R. Rao",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1998,concept_concept_ee5c67875d9b,Concept,"Out of India Theory (OIT)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
1999,concept_insight_5100b8166653,Insight,"Aryan is an adjective, not an ethnicity.",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2000,concept_insight_b463ef2a803e,Insight,"The Vedas do not reference any landmass outside the Indian subcontinent.",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2001,concept_insight_6417d9e86262,Insight,"IVC sites were abandoned between 1900 and 1700 BCE during a global mega drought.",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2002,concept_insight_6224d4eaa223,Insight,"Post‑drought, clay‑fired bricks disappear from the archaeological record, suggesting limited clay av",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2003,concept_domain_10549d935983,Domain,"Entertainment Industry",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2004,concept_domain_5326cf49f80e,Domain,"Psychology of Relationships",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_2r_outputs.normalized,
2005,concept_domain_8925e91225ed,Domain,"Sociology of Celebrity Culture",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2006,concept_domain_823daac77dc4,Domain,"Media Studies",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_2r_outputs.normalized,
2007,concept_domain_5dc11fbfb1c4,Domain,"Music Business",1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2008,concept_theme_dbf2642a8ec3,Theme,"Impact of career workload on personal life",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2009,concept_theme_4f48ec3dc840,Theme,"Privacy vs public exposure in celebrity couples",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2010,concept_theme_8e269d61b3b7,Theme,"Pandemic as a catalyst for artistic shifts",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2011,concept_theme_a7fecbc80a27,Theme,"British acting culture and low‑key lifestyle",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2012,concept_theme_0adab5543235,Theme,"Media narratives and insider sources",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2013,concept_theme_7e9c10cc412b,Theme,"Fan perception of fame disparity",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2014,concept_theme_a13f57c75b49,Theme,"Re‑recording strategy and legacy control",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2015,concept_theme_4f6b17dc1d5d,Theme,"Tour scheduling and relationship logistics",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2016,concept_person_83c95af5001c,Person,"Taylor Swift",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2017,concept_person_ac4b64acdfab,Person,"Joe Alwyn",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2018,concept_project_d428c5714bd7,Project,"Midnights (album)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2019,concept_project_f73071ba917f,Project,"Lover (album)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2020,concept_project_5a7680340f1e,Project,"Folklore (album)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2021,concept_project_2cf91f7afc68,Project,"Evermore (album)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2022,concept_event_0c8b8d0dc95f,Event,"Eras Tour",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2023,concept_event_20b4a47b8b62,Event,"Pandemic (COVID‑19)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2024,concept_person_67306b016d0a,Person,"Tree Paine (publicist)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2025,concept_organization_e2e89d036d4e,Organization,"Grammy Awards",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2026,concept_project_67b77cb8335b,Project,"Conversations with Friends (TV series)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2027,concept_concept_107a1b377f11,Concept,"British acting low‑key ethos",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2028,concept_concept_6a1271aaf29b,Concept,"Privacy in celebrity relationships",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2029,concept_concept_b37d41b0a351,Concept,"Fame disparity perception",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2030,concept_framework_422f1769eb93,Framework,"Re‑recording strategy",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2031,concept_insight_5765b9b1a563,Insight,"""Would it be enough if I could never give you peace?"" – recurring comment reflecting perceived emoti",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2032,concept_insight_ecf42d44dda0,Insight,"Taylor’s workload: writing/releasing Midnights, re‑recordings, tour planning, directing a movie – a ",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2033,concept_insight_c255bd97a3f2,Insight,"Pandemic halted touring, leading to Folklore/Evermore era; critics praised the shift, possibly alter",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2034,concept_insight_069b1c17faf8,Insight,"Joe Alwyn prefers steady, low‑key film work over blockbuster fame, suggesting a mismatch with Taylor",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2035,concept_insight_eb7ab978da76,Insight,"Fans label Joe as “bitter” about Taylor’s success, but British actors often view acting as a job, no",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2036,concept_insight_3d2cf9ee6805,Insight,"Repeated mentions of a “source close to Swift and Alwyn” likely refer to publicist Tree Paine, highl",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2037,concept_insight_339acd0dccdd,Insight,"Observation: “It’s gonna take a special person to date one of the biggest/busiest/most popular celeb",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2038,concept_insight_4317806b9f80,Insight,"Commentary on the extensive support staff (chefs, stylists, security) that creates a revolving‑door ",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2039,concept_domain_1602bd03169f,Domain,Psychology,1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_2r_outputs.normalized,
2040,concept_domain_e8f8911d9105,Domain,Education,1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2041,concept_domain_86d37f6c96c1,Domain,Philosophy,1,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_2r_outputs.normalized,
2042,concept_theme_f156a24f6899,Theme,"Anti‑intellectualism",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2043,concept_theme_2c6c49c54bbd,Theme,"Critical thinking deficits",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2044,concept_theme_77353817aa33,Theme,"Media consumption habits (TikTok, scrolling)",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2045,concept_theme_c0edc0bf578f,Theme,"Work‑culture fatigue (9‑5 routine)",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2046,concept_theme_9bad5ae05f7a,Theme,"Neoliberal capitalism",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2047,concept_theme_72d3351703a6,Theme,"Pavlovian conditioning in advertising",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2048,concept_theme_01d7c3fc0160,Theme,"Social lens vs. systems thinking",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2049,concept_theme_d1bb3a733135,Theme,"Pedagogical reform",2,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2050,concept_concept_65b51cb5f8d8,Concept,"Intellectual curiosity",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2051,concept_problem_62f72052d5e3,Problem,"Anti‑intellectualism",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2052,concept_framework_4852c58bccb3,Framework,"Critical thinking education",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2053,concept_concept_acee6882cb32,Concept,"Neoliberal oligarchy",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2054,concept_concept_c6249fcaa743,Concept,"Pavlovian conditioning (advertising)",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2055,concept_quote_9d5da0e072f7,Quote,"NPC metaphor for unthinking masses",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2056,concept_example_2c2b6b199fd7,Example,"TikTok scroll loop",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2057,concept_example_002bbaf681b5,Example,"9‑5 work routine",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2058,concept_problem_7e804a096195,Problem,"Self‑help industry exploitation",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2059,concept_quote_50fadc9cb514,Quote,"Henry Ford on educated public",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2060,concept_concept_88bb6fcdb482,Concept,"Social conformity / pecking order",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2061,concept_concept_8c0501b9a7a4,Concept,"Sensory overload in dense cities",3,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
2062,concept_insight_f2364366b111,Insight,"""80‑98% of people are content to do their 9‑5 then scroll TikTok and repeat all day every day.""",4,"2026-04-07 12:35:39",groq_batch_13r_outputs.normalized,groq_batch_13r_outputs.normalized,
